call_id,customer_id,phone_number,tower_id,call_type,call_duration_seconds,data_usage_mb,signal_strength_dbm,call_timestamp,call_success,revenue_naira,network_type,roaming,signal_valid,phone_valid,signal_quality,call_hour,call_day,call_month
86634543-444c-4f38-aa1d-70df574593fa,CU000151,8169541064,INVALID_TW9116,Sms,2532.0,4666.74,-85.0,2024-04-30 04:30:00,True,842.74,4G,True,True,False,Fair,4,Tuesday,April
fe36e9b9-f944-4d9a-83b2-a1796fc5074c,CU000307,7027999942,TW0040,Data,0.0,3281.08,-74.0,2024-04-08 10:37:00,True,126.07,5G,False,True,False,Fair,10,Monday,April
534acb40-196b-469b-8b20-dbbe23a6e898,CU001104,7011766356,TW0128,Voice,5506.0,3967.93,-75.0,2024-05-04 16:11:00,False,400.31,5G,False,True,False,Fair,16,Saturday,May
04b2ab83-5325-4dd0-9a46-6d767439f5a2,CU000869,9059923201,unknown,Voice,4610.0,4734.73,-113.0,2024-05-24 14:01:00,False,956.19,3G,True,True,False,Poor,14,Friday,May
7775e1be-3638-4d37-8ae9-e91fd5a966e5,CU000518,8091140319,TW0150,Sms,271.0,2995.66,-106.0,2024-04-07 20:54:00,False,740.63,3G,True,True,False,Poor,20,Sunday,April
347ce2de-2af3-411e-8558-ccb34bb636a2,CU000691,9052381677,TW0038,Voice,3935.0,866.68,-113.0,2024-05-23 10:18:00,False,491.0,4G,True,True,False,Poor,10,Thursday,May
e0a92494-1398-4b5c-a199-98a6080dc7fb,CU000128,7086288400,unknown,Data,1234.0,3301.17,-117.0,2024-01-21 18:20:00,True,491.07,2G,True,True,False,Poor,18,Sunday,January
59c2b822-ec4b-4e1e-b35c-ba30821e4fae,CU000544,80864810,TW0005,Voice,5691.0,4584.08,-98.0,2024-04-02 14:00:00,True,416.57,5G,False,True,False,Poor,14,Tuesday,April
2469fa91-eaa6-49c8-8d89-28bb25e7faf1,CU000869,9067384306,TW0020,Voice,3171.0,1989.07,-95.0,2024-01-20 02:09:00,False,897.57,3G,True,True,False,Poor,2,Saturday,January
50ae584f-ffc1-4bdf-92d5-7b8f6798e005,CU001377,7057813237,unknown,Voice,0.0,3959.02,-43.0,2024-01-22 22:32:00,True,485.9,2G,True,True,False,Good,22,Monday,January
